Time dt accelX accelY accelZ omegaX omegaY omegaZ
46534.47837579 46534.47837579 1.7114864219577 0.1717911743144 9.80533438749 -0.0032006241515747 0.031231284764596 -0.0063569265706488
46536.397971133 1.91959534300258 0.83423778879884 0.68519339662861 10.098361301744 0.0061682862311423 0.0074921554772265 0.018982074411509
46536.407975484 0.0100043509955867 0.86576212047901 0.68649938713432 10.032802106483 0.005952543296471 0.0069608321556425 0.017633263249783
46536.418163923 0.010188439002377 0.91519280240716 0.62523947906417 9.9558217905103 0.0062926618020003 0.0081727073322961 0.016779273762316
46536.428073084 0.00990916099544847 0.89006888204609 0.52654855720454 9.9227735219338 0.0082677625317003 0.0073848012324517 0.016011382697968
46536.43803807 0.00996498600579798 0.84546354973917 0.48439127362386 9.9252224936437 0.011682098151945 0.005362081047584 0.016357675293273
46536.448204656 0.0101665859983768 0.7935240172783 0.58583758258028 9.8490341195971 0.015422783429153 0.0065407688904464 0.015396523999282
46536.458218421 0.0100137650006218 0.72785041468655 0.61697194519324 9.6780140016576 0.01614836591478 0.0073251535568794 0.01490054539939
46536.468137136 0.009918714997184 0.79448785248357 0.55484615341425 9.7008869014089 0.015652111027563 0.0003583805233475 0.014958963589481
46536.478104391 0.00996725499862805 0.80246967461103 0.52063923040212 9.7694238661976 0.014936294373429 -0.0012763765551546 0.015053619051059
46536.488107245 0.0100028540036874 0.76254422341938 0.6398383458418 9.705790286268 0.014936850217415 0.0016945799281186 0.0149465761934
46536.497991932 0.0098846870023408 0.79081258990647 0.69941259396553 9.5733567433278 0.0094878226848024 0.00032139293890078 0.01523208976439
46536.508004021 0.0100120889983373 0.8339957014205 0.5570157048707 9.5788082318286 0.003353149282082 -0.0040693160019343 0.015572276299732
46536.518074282 0.0100702609997825 0.78907134620743 0.44119834914009 9.5612269970543 0.0019981768897697 -0.0039299186016442 0.015237434854772
46536.527981651 0.00990736899984768 0.72739564427631 0.53667359676908 9.4864179474962 0.0022249503563042 -0.0044534308113976 0.016007319626556
